countyFIPS,County Name,State,9/30/2020
48001,Anderson,TX,32
48003,Andrews,TX,9
48005,Angelina,TX,83
48007,Aransas,TX,18
48009,Archer,TX,1
48011,Armstrong,TX,1
48013,Atascosa,TX,32
48015,Austin,TX,9
48017,Bailey,TX,5
48019,Bandera,TX,8
48021,Bastrop,TX,30
48023,Baylor,TX,1
48025,Bee,TX,34
48027,Bell,TX,86
48029,Bexar,TX,1313
48031,Blanco,TX,5
48033,Borden,TX,0
48035,Bosque,TX,6
48037,Bowie,TX,53
48039,Brazoria,TX,167
48041,Brazos,TX,64
48043,Brewster,TX,4
48045,Briscoe,TX,1
48047,Brooks,TX,22
48049,Brown,TX,25
48051,Burleson,TX,6
48053,Burnet,TX,12
48055,Caldwell,TX,35
48057,Calhoun,TX,8
48059,Callahan,TX,3
48061,Cameron,TX,912
48063,Camp,TX,11
48065,Carson,TX,0
48067,Cass,TX,15
48069,Castro,TX,5
48071,Chambers,TX,8
48073,Cherokee,TX,30
48075,Childress,TX,0
48077,Clay,TX,2
48079,Cochran,TX,1
48081,Coke,TX,3
48083,Coleman,TX,4
48085,Collin,TX,148
48087,Collingsworth,TX,0
48089,Colorado,TX,4
48091,Comal,TX,102
48093,Comanche,TX,4
48095,Concho,TX,2
48097,Cooke,TX,6
48099,Coryell,TX,12
48101,Cottle,TX,3
48103,Crane,TX,2
48105,Crockett,TX,7
48107,Crosby,TX,3
48109,Culberson,TX,2
48111,Dallam,TX,9
48113,Dallas,TX,1133
48115,Dawson,TX,10
48117,Deaf Smith,TX,22
48119,Delta,TX,0
48121,Denton,TX,152
48123,DeWitt,TX,39
48125,Dickens,TX,2
48127,Dimmit,TX,7
48129,Donley,TX,1
48131,Duval,TX,16
48133,Eastland,TX,4
48135,Ector,TX,84
48137,Edwards,TX,2
48139,Ellis,TX,68
48141,El Paso,TX,526
48143,Erath,TX,12
48145,Falls,TX,5
48147,Fannin,TX,15
48149,Fayette,TX,21
48151,Fisher,TX,3
48153,Floyd,TX,9
48155,Foard,TX,0
48157,Fort Bend,TX,290
48159,Franklin,TX,6
48161,Freestone,TX,2
48163,Frio,TX,9
48165,Gaines,TX,9
48167,Galveston,TX,159
48169,Garza,TX,4
48171,Gillespie,TX,10
48173,Glasscock,TX,0
48175,Goliad,TX,6
48177,Gonzales,TX,18
48179,Gray,TX,6
48181,Grayson,TX,47
48183,Gregg,TX,67
48185,Grimes,TX,32
48187,Guadalupe,TX,76
48189,Hale,TX,56
48191,Hall,TX,1
48193,Hamilton,TX,4
48195,Hansford,TX,5
48197,Hardeman,TX,0
48199,Hardin,TX,32
48201,Harris,TX,2599
48203,Harrison,TX,32
48205,Hartley,TX,0
48207,Haskell,TX,2
48209,Hays,TX,65
48211,Hemphill,TX,0
48213,Henderson,TX,23
48215,Hidalgo,TX,1525
48217,Hill,TX,14
48219,Hockley,TX,9
48221,Hood,TX,28
48223,Hopkins,TX,8
48225,Houston,TX,11
48227,Howard,TX,16
48229,Hudspeth,TX,3
48231,Hunt,TX,38
48233,Hutchinson,TX,5
48235,Irion,TX,0
48237,Jack,TX,3
48239,Jackson,TX,16
48241,Jasper,TX,26
48243,Jeff Davis,TX,0
48245,Jefferson,TX,134
48247,Jim Hogg,TX,3
48249,Jim Wells,TX,37
48251,Johnson,TX,50
48253,Jones,TX,0
48255,Karnes,TX,16
48257,Kaufman,TX,47
48259,Kendall,TX,8
48261,Kenedy,TX,2
48263,Kent,TX,0
48265,Kerr,TX,10
48267,Kimble,TX,1
48269,King,TX,0
48271,Kinney,TX,1
48273,Kleberg,TX,44
48275,Knox,TX,8
48277,Lamar,TX,35
48279,Lamb,TX,23
48281,Lampasas,TX,8
48283,La Salle,TX,11
48285,Lavaca,TX,35
48287,Lee,TX,14
48289,Leon,TX,6
48291,Liberty,TX,51
48293,Limestone,TX,14
48295,Lipscomb,TX,1
48297,Live Oak,TX,9
48299,Llano,TX,2
48301,Loving,TX,0
48303,Lubbock,TX,126
48305,Lynn,TX,5
48307,McCulloch,TX,4
48309,McLennan,TX,105
48311,McMullen,TX,1
48313,Madison,TX,6
48315,Marion,TX,14
48317,Martin,TX,6
48319,Mason,TX,2
48321,Matagorda,TX,48
48323,Maverick,TX,124
48325,Medina,TX,46
48327,Menard,TX,0
48329,Midland,TX,65
48331,Milam,TX,6
48333,Mills,TX,0
48335,Mitchell,TX,1
48337,Montague,TX,4
48339,Montgomery,TX,159
48341,Moore,TX,22
48343,Morris,TX,3
48345,Motley,TX,0
48347,Nacogdoches,TX,63
48349,Navarro,TX,27
48351,Newton,TX,11
48353,Nolan,TX,5
48355,Nueces,TX,374
48357,Ochiltree,TX,5
48359,Oldham,TX,1
48361,Orange,TX,44
48363,Palo Pinto,TX,15
48365,Panola,TX,26
48367,Parker,TX,34
48369,Parmer,TX,8
48371,Pecos,TX,5
48373,Polk,TX,22
48375,Potter,TX,58
48377,Presidio,TX,7
48379,Rains,TX,4
48381,Randall,TX,42
48383,Reagan,TX,6
48385,Real,TX,7
48387,Red River,TX,14
48389,Reeves,TX,6
48391,Refugio,TX,14
48393,Roberts,TX,0
48395,Robertson,TX,3
48397,Rockwall,TX,27
48399,Runnels,TX,6
48401,Rusk,TX,11
48403,Sabine,TX,8
48405,San Augustine,TX,15
48407,San Jacinto,TX,9
48409,San Patricio,TX,77
48411,San Saba,TX,0
48413,Schleicher,TX,2
48415,Scurry,TX,4
48417,Shackelford,TX,0
48419,Shelby,TX,27
48421,Sherman,TX,0
48423,Smith,TX,106
48425,Somervell,TX,5
48427,Starr,TX,169
48429,Stephens,TX,4
48431,Sterling,TX,0
48433,Stonewall,TX,1
48435,Sutton,TX,3
48437,Swisher,TX,3
48439,Tarrant,TX,721
48441,Taylor,TX,56
48443,Terrell,TX,0
48445,Terry,TX,4
48447,Throckmorton,TX,2
48449,Titus,TX,28
48451,Tom Green,TX,69
48453,Travis,TX,419
48455,Trinity,TX,7
48457,Tyler,TX,4
48459,Upshur,TX,10
48461,Upton,TX,2
48463,Uvalde,TX,34
48465,Val Verde,TX,104
48467,Van Zandt,TX,19
48469,Victoria,TX,96
48471,Walker,TX,57
48473,Waller,TX,14
48475,Ward,TX,1
48477,Washington,TX,48
48479,Webb,TX,278
48481,Wharton,TX,52
48483,Wheeler,TX,0
48485,Wichita,TX,24
48487,Wilbarger,TX,2
48489,Willacy,TX,50
48491,Williamson,TX,144
48493,Wilson,TX,26
48495,Winkler,TX,4
48497,Wise,TX,14
48499,Wood,TX,25
48501,Yoakum,TX,5
48503,Young,TX,6
48505,Zapata,TX,6
48507,Zavala,TX,16
